incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
cox-wd-73-c-19-june-2022,data/raw/bsee/text/cox-wd-73-c-19-june-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-wd-73-c-19-june-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:36:38.818040+00:00,True,,,
cox-wd-73-c-25-feb-2022-ca-review,data/raw/bsee/text/cox-wd-73-c-25-feb-2022-ca-review.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-wd-73-c-25-feb-2022-ca-review.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:37:03.680778+00:00,True,,,
cox-wd-74-f-13-may-2022,data/raw/bsee/text/cox-wd-74-f-13-may-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-wd-74-f-13-may-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:37:31.807993+00:00,True,,,
dc-398-shell-14-aug-2014,data/raw/bsee/text/dc-398-shell-14-aug-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/dc-398-shell-14-aug-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:37:50.773115+00:00,True,,,
dc-4-murphy-25-jun-2019,data/raw/bsee/text/dc-4-murphy-25-jun-2019.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/dc-4-murphy-25-jun-2019.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:38:12.492596+00:00,True,,,
dc4-murphy-30apr2018,data/raw/bsee/text/dc4-murphy-30apr2018.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/dc4-murphy-30apr2018.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:38:37.683400+00:00,True,,,
destin-pipeline-mp-260-p-24-june-2022,data/raw/bsee/text/destin-pipeline-mp-260-p-24-june-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/destin-pipeline-mp-260-p-24-june-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:39:02.524734+00:00,True,,,
eb-110-fieldwood-offshore-21-sep-2016,data/raw/bsee/text/eb-110-fieldwood-offshore-21-sep-2016.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-110-fieldwood-offshore-21-sep-2016.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:39:38.195134+00:00,True,,,
eb-159-fieldwood-18-jan-2017,data/raw/bsee/text/eb-159-fieldwood-18-jan-2017.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-159-fieldwood-18-jan-2017.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:40:00.984162+00:00,True,,,
eb-159-union-oil-05-jan-2014,data/raw/bsee/text/eb-159-union-oil-05-jan-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-159-union-oil-05-jan-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:40:18.032296+00:00,True,,,
